personstatus_i_hushallet,name,sdb_amne,sdb_titel
1,Sökande alt. medsökande av ekonomiskt bistånd,Ekonomiskt bistånd - månadsstatistik,Personstatus i hushållet
3,Övriga personer som bott i hushåll med ekonomiskt bistånd,Ekonomiskt bistånd - månadsstatistik,Personstatus i hushållet
