inrikes_eller_utrikesfodda,name,sdb_amne,sdb_titel
0,Inrikes född,Ekonomiskt bistånd - månadsstatistik,Inrikes- eller utrikesfödda
1,Utrikes född,Ekonomiskt bistånd - månadsstatistik,Inrikes- eller utrikesfödda
