tidsperiod,indikator,plats,vardegrupp,vardetyp,antal_fall,konfidensintervall_lag,konfidensintervall_hog,varde
2013,330,08,1,4,6971,6.27748267304129,7.46516544057225,6.87132405680677
2014,330,24,1,4,6987,9.50873552080615,10.9292206835734,10.2189781021898
2012,330,03,1,4,7001,11.66794496089,13.2142147305826,12.4410798457363
2017,330,25,1,4,7002,9.41919913346792,10.8313821996474,10.1113967437875
2016,330,03,1,4,7021,11.5791022197399,13.1182343420034,12.3486682808717
2015,330,24,1,4,7036,10.1038825607571,11.5561515495328,10.830017055145
2012,330,13,1,4,7038,8.11968679011232,9.44212054151599,8.78090366581415
2013,330,24,1,4,7071,9.66950060310159,11.0913535900818,10.3804270965917
2014,330,03,1,4,7136,11.7190156538217,13.2529574403487,12.4859865470852
2016,330,13,1,4,7137,9.13157654976017,10.5125316189382,9.82205408434917
2017,330,13,1,4,7192,8.76580018096219,10.1163682281497,9.42714126807564
2013,330,03,1,4,7193,11.2739016806199,12.7772591702073,12.0255804254136
2012,330,21,1,4,7215,10.2288815930683,11.6699403057536,10.949410949411
2014,330,13,1,4,7257,9.38056030792091,10.7655055595174,10.0730329337192
2012,330,25,1,4,7282,9.04212967696818,10.403077683647,9.72260368030761
2013,330,13,1,4,7403,9.26028561923444,10.6235452601388,9.94191543968661
2013,330,25,1,4,7487,8.4961246587875,9.80225920657914,9.14919193268332
2016,330,25,1,4,7491,10.9663144442428,12.4217512345717,11.6940328394073
2013,330,21,1,4,7499,9.71043042135334,11.0923432818071,10.4013868515802
2016,330,17,1,4,7500,9.46329930462788,10.8300340287055,10.1466666666667
2015,330,25,1,4,7518,7.95919069060388,9.22623096409152,8.5927108273477
2015,330,13,1,4,7521,9.15308637956634,10.4985556893075,9.82582103443691
2012,330,17,1,4,7571,9.22046530306499,10.5655603210269,9.89301281204597
2014,330,25,1,4,7577,9.11075917507586,10.4484331173882,9.77959614623202
2014,330,21,1,4,7665,10.1834974620302,11.5777549841538,10.880626223092
2016,330,21,1,4,7665,9.49928354677899,10.8529669424578,10.1761252446184
2017,330,21,1,4,7686,10.5218458677979,11.9326352273525,11.2151964610981
2016,330,20,1,4,7725,8.15822952046296,9.421058505427,8.78964401294498
2017,330,20,1,4,7756,7.70275498993108,8.93090308494845,8.30324909747292
2012,330,20,1,4,7799,7.9689036765975,9.21278628365381,8.59084498012566
2017,330,17,1,4,7879,11.1890804094799,12.6184425559177,11.8923721284427
2013,330,17,1,4,7914,9.32186354282104,10.6427561185386,9.98230983067981
2015,330,17,1,4,7958,9.95358950190512,11.3080340215932,10.6308117617492
2015,330,20,1,4,8041,7.58393278383503,8.78219083263058,8.18306180823281
2014,330,17,1,4,8052,9.87313655221138,11.2147919127663,10.5439642324888
2015,330,21,1,4,8162,10.1803059195246,11.5300591870669,10.8551825532958
2012,330,06,1,4,8324,6.89589489428984,8.02481630225028,7.46035559827006
2014,330,20,1,4,8333,7.41007727076609,8.57456211480934,7.99231969278771
2013,330,20,1,4,8425,7.83410352195643,9.02049588457176,8.4272997032641
2016,330,06,1,4,8593,8.3681578776592,9.57668094463802,8.97241941114861
2017,330,06,1,4,8670,9.17819158564865,10.4293466272025,9.79238754325259
2012,330,05,1,4,8846,7.76649080837459,8.91901676567017,8.34275378702238
2014,330,06,1,4,9016,7.81297447419714,8.95721186120659,8.38509316770186
2013,330,06,1,4,9068,7.87489384794831,9.0196804793565,8.4472871636524
2015,330,06,1,4,9073,7.7637270021999,8.90110271233774,8.33241485726882
2016,330,05,1,4,9245,9.49896151838858,10.7281882923199,10.1135749053542
2014,330,05,1,4,9264,8.67132567363086,9.85199038854531,9.26165803108808
2013,330,05,1,4,9297,8.66133677754847,9.83925481113605,9.25029579434226
2017,330,05,1,4,9311,9.65085556422053,10.8832789797636,10.2566856406401
2015,330,05,1,4,9401,9.38217118366709,10.5944270505633,9.9882991171152
2017,330,12,5,4,15162,11.9712678078818,13.0237552605774,12.4917557050521
2016,330,12,5,4,15436,11.8287621851652,12.866754788144,12.3477584866546
2012,330,12,5,4,15454,13.175702271761,14.260560184561,13.718131228161
2015,330,12,5,4,15530,11.8644378448466,12.9005331789783,12.3824855119124
2014,330,12,5,4,15575,12.0066145308352,13.0463549715725,12.5264847512039
2017,330,12,4,4,15919,11.0552607670437,12.0480989489999,11.5459513788555
2016,330,12,4,4,16230,11.2544292734192,12.2452626551082,11.7498459642637
2013,330,12,5,4,16285,13.4434970018037,14.5086061606157,13.9760515812097
2017,330,14,5,4,16741,9.7497922582634,10.6667785532076,10.2024968639866
2015,330,12,4,4,16792,12.1109919484571,13.1153062887987,12.6131491186279
2016,330,14,5,4,16895,9.81737335327284,10.7330853623235,10.2752293577982
2012,330,14,5,4,17222,9.86387084543968,10.7725244628869,10.3181976541633
2014,330,12,4,4,17297,12.381617507334,13.3800752717607,12.8808463895473
2014,330,14,5,4,17414,10.351892303523,11.2743854040686,10.8131388537958
2012,330,12,4,4,17458,13.2308374275793,14.25226487509,13.7415511513346
2015,330,14,5,4,17754,9.86579730770418,10.7605404190053,10.3131688633547
2013,330,14,5,4,18187,10.525982516472,11.4347586722892,10.9803705943806
2017,330,14,4,4,18274,9.34294814910491,10.203817331218,9.76797635985553
2016,330,14,4,4,18437,9.35580352862762,10.2135407247759,9.78467212670174
2013,330,12,4,4,18642,13.2858895458028,14.2755309026469,13.7807102242249
2012,330,14,4,4,19737,9.73213837742484,10.5748991662748,10.1535187718498
2014,330,14,4,4,19752,9.46635572216418,10.2987313576252,9.88254353989469
2012,330,01,5,4,19822,8.60663863968755,9.4036529555097,9.00514579759863
2015,330,14,4,4,19980,9.27459223505601,10.0947771343134,9.68468468468468
2013,330,14,4,4,20203,9.99310065704202,10.835489156352,10.414294906697
2013,330,01,5,4,21430,9.1310050605421,9.91705840189374,9.52403173121792
2014,330,01,5,4,21532,8.70940303525818,9.47748160156144,9.09344231840981
2015,330,01,5,4,22296,8.59072798466734,9.34073954314034,8.96573376390384
2016,330,01,5,4,22642,8.84926071060411,9.60317282000273,9.22621676530342
2017,330,01,5,4,22950,8.93570194917567,9.68746377105591,9.30718954248366
2012,330,01,4,4,25868,7.58807846898551,8.24615687970785,7.91711767434668
2013,330,01,4,4,26277,7.91415708439163,8.57935435146483,8.24675571792823
2014,330,01,4,4,27394,7.6661183270499,8.30818261476217,7.98715047090604
2017,330,01,4,4,27737,8.144947855089,8.80025824535662,8.46883224573674
2016,330,01,4,4,27750,7.99575268477496,8.64568875666648,8.32072072072072
2015,330,01,4,4,28051,7.68573708797111,8.32082239297431,8.00327974047271
